File,Tool,Method_Name,Prompt(s)_Used
AddShiftForm.js, Claude, AddShiftForm, My prompt was "add a component to create a new shift for an employee"
AssignmentHistory.js, Claude, AssignmentHistory, My prompt was "Create a component that shows an employee's past assignments"
EmployeeHome.js, Claude, EmployeeHome, My prompt was "Create a component that information about an employee and a time clock to start and end shifts"
EmployeeOverview.js, Claude, EmployeeOverview, My prompt was "Create a component that shows an employee's store role status phone and dob"
EmployeeShow.js, Claude, EmployeeShow, My prompt was "Create a component that has a sidebar and show shows an employee's store role status phone and dob with an edit and delete button"
RecentShifts.js, Claude, RecentShifts, My prompt was "Create a component that shows an employees recent shifts and their status"
views/assignments, Claude, _form.html.erb, My prompt was "Create a form to create a new assignment with drop down menus for employee store and paygrade"
views/assignments, Claude, index.html.erb, My prompt was "Create a page that shows all current assignmens with employee name store pay grade date and shift count in a table"
views/assignments, Claude, show.html.erb, My prompt was "when an employee's assignment is viewed show the assignments details"
views/employee, Claude, _form.html.erb, My prompt was "Create a form to create a new employee with employee attributes"
views/employee, Claude, index.html.erb, My prompt was "Create an index for employees"
views/partials/_footer.html.erb, Claude, styling, My prompt was "Add styling to the footer making the text centered and a background color"
views/partials/_nav.html.erb, Claude, styling, My prompt was "Apply similar styling to the nav bar and making a hover so when a word is hovered over it is highlighted"
